id	sym	barcode	marker	cellType	data	target_cellType
ENSG00000137077	CCL21	0.00570534456540983	Lymphatic EC proliferating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000137673	MMP7	4.32988758452546e-05	SMG Basal/Duct cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000137709	POU2F3	2.89935076654358e-06	Tuft_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000137709	POU2F3	2.89935076654358e-06	Tuft cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000137804	NUSAP1	2.05057852520341e-06	Alveolar Mph proliferating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000137975	CLCA2	2.99239799605999e-17	Suprabasal cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000139329	LUM	0.118380659563194	Alveolar fibroblasts_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000142748	FCN3	0.0145006933184663	EC general capillary_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000142748	FCN3	0.0145006933184663	Capillary 1 cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000143196	DPT	0	Peribronchial fibroblasts_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000143546	S100A8	0.390068786022873	Inflammatory monocyte_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000148019	CEP78	0.1396615753753	Deuterosomal_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000148773	MKI67	0	T cells proliferating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000149021	SCGB1A1	0.974865625398389	Club (non-nasal)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000149021	SCGB1A1	0.974865625398389	Goblet (subsegmental)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000149021	SCGB1A1	0.974865625398389	Secretory cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000149021	SCGB1A1	0.974865625398389	pre-TB secretory_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000149591	TAGLN	0.00635898042377137	Smooth muscle cell_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000150045	KLRF1	6.84115285929376e-05	NK cells_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000153563	CD8A	1.20204203951646e-07	CD8+ T cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000153993	SEMA3D	0	Lymphatic EC differentiating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000155011	DKK2	3.58607880057704e-07	EC arterial_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000155011	DKK2	3.58607880057704e-07	Arterial endothelial cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000156689	GLYATL2	6.31543202408505e-18	SMG duct_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000156738	MS4A1	2.06109500586749e-05	B cells_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000156738	MS4A1	2.06109500586749e-05	B cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000159189	C1QC	0.999999999736428	Interstitial macrophage_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000160145	KALRN	2.00123107418904e-07	Lymphatic EC differentiating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000160654	CD3G	0.00013348168311933	T cells proliferating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000162399	BSND	2.54815216162027e-11	Ionocyte_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000162399	BSND	2.54815216162027e-11	Ionocyte_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000162747	FCGR3B	1.17490461803982e-11	Neutrophil_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000163017	ACTG2	0.000452002137429575	Smooth muscle cell FAM83D+_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000163221	S100A12	0.455698657278341	Classical monocyte_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000163520	FBLN2	6.18571386198918e-06	Alveolar fibroblast 2_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000163599	CTLA4	0	T regulatory cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000163687	DNASE1L3	4.52012673735069e-07	DC1_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000163735	CXCL5	0.685583477681239	Alveolar Mph CCL3+_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000163737	PF4	1.34761957184537e-05	Megakaryocyte/Platelet_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000163751	CPA3	3.65193522067209e-06	Mast/Basophil_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000164035	EMCN	1.23179263011863e-07	EC venous systemic_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000164035	EMCN	1.23179263011863e-07	Capillary 2 cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000164120	HPGD	0.999943982332924	Alveolar Mph MT-positive_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000164265	SCGB3A2	0.296007584644963	Respiratory airway secretory cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000164265	SCGB3A2	0.296007584644963	AT0_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000164287	CDC20B	6.19247924518469e-07	Deuterosomal_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000164287	CDC20B	6.19247924518469e-07	Deuterosomal cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000164379	FOXQ1	4.02810753231519e-17	SMG Basal/Duct cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000165325	DEUP1	1.35796322103809e-17	Deuterosomal cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000166803	PCLAF	8.64893148211365e-08	Alveolar Mph proliferating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000166803	PCLAF	8.64893148211365e-08	T cells proliferating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000166920	C15orf48	0.886707026721414	Monocyte-derived Mph_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000166959	MS4A8	1.00506064177816e-05	Multiciliated (non-nasal)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000167286	CD3D	1.52685182275292e-08	CD8 T cells_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000167286	CD3D	1.52685182275292e-08	CD4+ T cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000167286	CD3D	1.52685182275292e-08	CD4 T cells_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000167434	CA4	0.00337317395565884	Capillary 1 cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000167434	CA4	0.00337317395565884	EC general capillary_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000167653	PSCA	0.00192027491656344	Goblet cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000167653	PSCA	0.00192027491656344	Club (nasal)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000168079	SCARA5	1.67344832435745e-10	Adventitial fibroblasts_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000168878	SFTPB	0.917843001223283	pre-TB secretory_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000168878	SFTPB	0.917843001223283	Respiratory airway secretory cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000169435	RASSF6	1.56125112837913e-17	Tuft cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000170323	FABP4	0.995483249874195	Alveolar macrophages_hlca	Alveolar macrophages	hlca	TRUE
ENSG00000170476	MZB1	3.49181532993681e-09	Plasma cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000170891	CYTL1	0.0052988514379928	Hematopoietic stem cells_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000170891	CYTL1	0.0052988514379928	Chondrocyte_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000171303	KCNK3	2.77555756156289e-17	Pericytes_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000171303	KCNK3	2.77555756156289e-17	Pericyte_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000171346	KRT15	2.66087568645546e-11	Suprabasal_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000171346	KRT15	2.66087568645546e-11	Basal cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000171346	KRT15	2.66087568645546e-11	Basal resting_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000171462	DLK2	0	Basal cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000171848	RRM2	2.38512215533504e-09	Alveolar Mph proliferating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000172137	CALB2	1.30737911076088e-07	Mesothelial cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000172137	CALB2	1.30737911076088e-07	Mesothelium_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000172236	TPSAB1	0.0740251374136101	Mast cells_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000174059	CD34	1.25891282716228e-05	Systemic venous endothelial cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000174501	ANKRD36C	0.168113790240842	Goblet (bronchial)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000174718	RESF1	0.664956243000132	Innate lymphoid cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000174807	CD248	2.8422860948174e-07	Adventitial fibroblasts_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000175063	UBE2C	0	Alveolar Mph proliferating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000175084	DES	1.87261963778534e-05	Airway smooth muscle cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000176009	ASCL3	1.22208964714906e-14	Ionocyte_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000176009	ASCL3	1.22208964714906e-14	Ionocyte_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000180644	PRF1	0.0326955203926197	NK cells_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000181458	TMEM45A	8.29847659833405e-06	Secretory cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000182010	RTKN2	0	Alveolar type 1 cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000183019	MCEMP1	0.0415923297449463	Alveolar macrophage_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000184530	C6orf58	1.67108425193178e-05	SMG serous (bronchial)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000184937	WT1	9.60155032195785e-12	Subpleural fibroblasts_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000186810	CXCR3	1.82211884469652e-12	Innate lymphoid cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000186847	KRT14	6.51007103313981e-08	Hillock-like_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000187479	C11orf96	0.0125996104418946	SM activated stress response_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000187908	DMBT1	1.11022302462516e-16	SMG duct_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000189058	APOD	0.0449764742669736	Peribronchial fibroblasts_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000196735	HLA-DQA1	0.998816180307477	DC2_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000197353	LYPD2	0	Goblet (nasal)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000197446	CYP2F1	0.000104690522650719	Club (non-nasal)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000197614	MFAP5	0	Alveolar fibroblast 2_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000197870	PRB3	4.23366529584779e-11	Serous cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000197943	PLCG2	0.07673398596839	Goblet (bronchial)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000197992	CLEC9A	1.99157010327689e-11	Classical DC subset 1_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000197992	CLEC9A	1.99157010327689e-11	DC1_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000198523	PLN	2.93445823196237e-14	Vascular smooth muscle cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000198542	ITGBL1	9.22204299826177e-06	Secondary crest myofibroblast_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000198851	CD3E	0	T cells proliferating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000198851	CD3E	0	CD8+ T cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000198901	PRC1	2.61498556142215e-09	AT2 proliferating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000204305	AGER	2.95600742772351e-08	AT1_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000205420	KRT6A	1.00809006878255e-07	Hillock-like_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000206073	SERPINB4	1.87908598563158e-07	Suprabasal_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000213088	ACKR1	0.0682553037890168	EC venous pulmonary_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000215182	MUC5AC	2.5366650968639e-06	Goblet cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000215182	MUC5AC	2.5366650968639e-06	Goblet (nasal)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000226777	FAM30A	2.38484259562632e-08	Hematopoietic stem cells_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000227507	LTB	8.41493319470032e-10	CD4 T cells_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000227507	LTB	8.41493319470032e-10	CD4+ T cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000227877	MRLN	0	Multiciliated (nasal)_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000229807	XIST	0.99369087425588	AT0_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000239961	LILRA4	1.11022302462516e-16	Plasmacytoid DC_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000239961	LILRA4	1.11022302462516e-16	Plasmacytoid DCs_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000242265	PEG10	0.000612299254114101	AT2 proliferating_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000243566	UPK3B	3.76920716860241e-14	Mesothelial cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000261857	MIA	2.05981521824404e-07	Myoepithelial cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000265107	GJA5	1.54626311754669e-11	Arterial endothelial cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000271503	CCL5	0.0130989224775414	CD8 T cells_hlca	Alveolar macrophages	hlca	FALSE
ENSG00000274736	CCL23	0.00248390241566354	Venous endothelial cell_cellRef	Alveolar macrophages	hlca	FALSE
NA	MTRNR2L8	NA	Goblet (subsegmental)_hlca	Alveolar macrophages	hlca	FALSE
NA	C1orf194	NA	Multiciliated (non-nasal)_hlca	Alveolar macrophages	hlca	FALSE
NA	C1orf194	NA	Ciliated cell_cellRef	Alveolar macrophages	hlca	FALSE
NA	C9orf24	NA	Ciliated cell_cellRef	Alveolar macrophages	hlca	FALSE
ENSG00000007933	FMO3	1.47187025553719e-08	Multiciliated (nasal)_hlca	NK cells	hlca	FALSE
ENSG00000009790	TRAF3IP3	0.553958931913715	Innate lymphoid cell_cellRef	NK cells	hlca	FALSE
ENSG00000010327	STAB1	4.06277309419334e-05	Interstitial Mph perivascular_hlca	NK cells	hlca	FALSE
ENSG00000025423	HSD17B6	0.00131284188530922	AT0_hlca	NK cells	hlca	FALSE
ENSG00000028277	POU2F2	0.569163341571066	Patrolling monocyte_cellRef	NK cells	hlca	FALSE
ENSG00000038427	VCAN	0.000217280001829079	Inflammatory monocyte_cellRef	NK cells	hlca	FALSE
ENSG00000038945	MSR1	8.61533067109121e-13	Alveolar macrophages_hlca	NK cells	hlca	FALSE
ENSG00000041982	TNC	1.12054809875417e-12	Suprabasal_hlca	NK cells	hlca	FALSE
ENSG00000049768	FOXP3	1.64974528818473e-06	T regulatory cell_cellRef	NK cells	hlca	FALSE
ENSG00000050165	DKK3	0.00273874915987571	Myofibroblasts_hlca	NK cells	hlca	FALSE
ENSG00000050730	TNIP3	3.2427243624733e-06	Alveolar Mph CCL3+_hlca	NK cells	hlca	FALSE
ENSG00000051128	HOMER3	5.13102227372997e-09	Tuft_hlca	NK cells	hlca	FALSE
ENSG00000070031	SCT	1.40675231879994e-17	Plasmacytoid DC_cellRef	NK cells	hlca	FALSE
ENSG00000072694	FCGR2B	0.000920202350061072	Interstitial Mph perivascular_hlca	NK cells	hlca	FALSE
ENSG00000077943	ITGA8	0	Alveolar fibroblast 1_cellRef	NK cells	hlca	FALSE
ENSG00000078898	BPIFB2	8.59227046652068e-09	SMG mucous_hlca	NK cells	hlca	FALSE
ENSG00000078898	BPIFB2	8.59227046652068e-09	Mucous cell_cellRef	NK cells	hlca	FALSE
ENSG00000085265	FCN1	0.00575232931360337	Classical monocyte_hlca	NK cells	hlca	FALSE
ENSG00000100292	HMOX1	0.113602053510406	Alveolar Mph MT-positive_hlca	NK cells	hlca	FALSE
ENSG00000100604	CHGA	0	Neuroendocrine_hlca	NK cells	hlca	FALSE
ENSG00000100604	CHGA	0	Pulmonary neuroendocrine cell_cellRef	NK cells	hlca	FALSE
ENSG00000101162	TUBB1	5.35722658519732e-06	Megakaryocyte/Platelet_cellRef	NK cells	hlca	FALSE
ENSG00000101955	SRPX	0.00498171454352725	Venous endothelial cell_cellRef	NK cells	hlca	FALSE
ENSG00000101955	SRPX	0.00498171454352725	EC venous pulmonary_hlca	NK cells	hlca	FALSE
ENSG00000102575	ACP5	1.02801794865659e-06	Alveolar macrophage_cellRef	NK cells	hlca	FALSE
ENSG00000102962	CCL22	3.54709250860452e-09	Mature DC subset_cellRef	NK cells	hlca	FALSE
ENSG00000102962	CCL22	3.54709250860452e-09	Migratory DCs_hlca	NK cells	hlca	FALSE
ENSG00000104332	SFRP1	5.03294791432372e-07	Myoepithelial cell_cellRef	NK cells	hlca	FALSE
ENSG00000104972	LILRB1	0.285538978615141	Non-classical monocyte_hlca	NK cells	hlca	FALSE
ENSG00000105369	CD79A	0.00422948623845043	B cells_hlca	NK cells	hlca	FALSE
ENSG00000105374	NKG7	0.999975410909451	CD8+ T cell_cellRef	NK cells	hlca	FALSE
ENSG00000106819	ASPN	1.20935643072029e-06	Myofibroblasts_hlca	NK cells	hlca	FALSE
ENSG00000106819	ASPN	1.20935643072029e-06	Secondary crest myofibroblast_cellRef	NK cells	hlca	FALSE
ENSG00000107562	CXCL12	0.00256389530195189	Subpleural fibroblasts_hlca	NK cells	hlca	FALSE
ENSG00000107796	ACTA2	0.410944997166092	Smooth muscle cell_hlca	NK cells	hlca	FALSE
ENSG00000111215	PRR4	0.27585695306201	SMG serous (bronchial)_hlca	NK cells	hlca	FALSE
ENSG00000111404	RERGL	0	SM activated stress response_hlca	NK cells	hlca	FALSE
ENSG00000111796	KLRB1	0.999978867738971	Natural killer cell_cellRef	NK cells	hlca	FALSE
ENSG00000114200	BCHE	9.96714571988022e-10	Airway smooth muscle cell_cellRef	NK cells	hlca	FALSE
